# Metrics file written by Glyphs 3.3

SEGMENT SPACING
#Name;Width;LSB;RSB;
A;704;16;11;
Adieresis;704;16;11;
AE;904;16;36;
B;568;27;46;
C;720;56;49;
D;720;16;56;
E;584;27;36;
Eacute;584;27;36;
F;488;27;16;
G;712;56;43;
H;760;16;16;
I;304;16;20;
J;280;-44;0;
K;648;27;11;
L;616;27;25;
M;864;18;25;
N;760;16;16;
O;760;56;56;
Odieresis;760;56;56;
P;488;8;24;
Q;760;56;-373;
R;632;31;5;
S;504;48;55;
T;648;8;4;
U;672;-2;7;
Udieresis;672;-2;7;
V;728;8;6;
W;968;8;9;
X;552;16;16;
Y;552;8;2;
Z;656;40;46;
a;400;40;7;
adieresis;400;40;7;
ae;592;35;21;
b;488;2;32;
c;392;32;22;
d;488;32;18;
e;408;32;36;
eacute;408;32;36;
f;312;19;-52;
g;424;17;15;
h;488;10;15;
i;232;20;9;
idotless;237;21;13;
j;216;-48;54;
jdotless;216;-48;64;
k;472;10;0;
l;232;10;14;
m;736;21;9;
n;488;22;15;
o;488;32;32;
odieresis;488;32;32;
p;488;15;32;
q;488;32;16;
r;320;21;-1;
s;328;32;31;
germandbls;528;9;32;
t;296;6;9;
u;488;17;20;
udieresis;488;17;20;
v;416;0;-4;
w;616;0;-2;
x;416;0;-4;
y;416;0;-4;
z;392;32;27;
c_t;696;32;17;
f_f;592;15;-56;
f_f_i;800;19;7;
f_f_l;800;19;10;
f_i;504;15;7;
f_l;512;15;10;
s_t;624;32;9;
zero;520;50;50;
one;336;12;30;
two;520;53;47;
three;520;49;72;
four;544;11;56;
five;520;70;60;
six;520;43;44;
seven;480;11;18;
eight;520;47;48;
nine;520;41;46;
zero.tf;592;90;82;
one.tf;592;160;98;
two.tf;592;99;87;
three.tf;592;105;88;
four.tf;592;42;73;
five.tf;592;122;80;
six.tf;592;80;79;
seven.tf;592;91;50;
eight.tf;592;90;77;
nine.tf;592;88;71;
space;200;0;0;
nbspace;200;0;0;
enspace;496;0;0;
emspace;1000;0;0;
enquad;496;0;0;
emquad;1000;0;0;
thinspace;200;0;0;
hairspace;136;0;0;
period;224;56;54;
comma;248;48;54;
colon;240;56;53;
semicolon;248;56;55;
ellipsis;640;56;56;
exclam;248;72;72;
exclamdown;248;72;72;
question;320;18;36;
questiondown;320;18;36;
periodcentered;296;91;91;
bullet;600;158;157;
asterisk;328;42;42;
numbersign;600;40;24;
slash;376;19;20;
